#,Name
111,LEGISLATORS AND SENIOR OFFICIALS
112,MANAGING DIRECTORS AND CHIEF EXECUTIVES
121,BUSINESS SERVICES AND ADMINISTRATION MANAGERS
122,"SALES, MARKETING AND DEVELOPMENT MANAGERS"
131,"PRODUCTION MANAGERS IN AGRICULTURE, FORESTRY AND FISHERIES"
132,"MANUFACTURING, MINING, CONSTRUCTION AND DISTRIBUTION MANAGERS"
133,INFORMATION AND COMMUNICATIONS TECHNOLOGY SERVICES MANAGERS
134,PROFESSIONALS SERVICES MANAGERS
141,HOTEL AND RESTAURANT MANAGERS
142,RETAIL AND WHOLESALE TRADE MANAGERS
143,OTHER SERVICES MANAGERS
211,"PHYSICISTS, CHEMIST AND RELATED PROFESSIONALS"
212,"MATHEMATICIANS, ACTUARIES AND STATISTICIANS "
213,LIFE SCIENCE PROFESSIONALS
214,ENGINEERING PROFESSIONALS (EXCLUDING ELECTROTECHNOLOGY)
215,ELECTROTECHNOLOGY ENGINEERS
216,"ARCHITECS, PLANNERS, SURVEYORS AND DESIGNERS"
217,"SHIP, AIRCRAFT AND TRAIN/LOCOMOTIVE CONTROLLERS"
218,"MINING, MANUFACTURING & CONSTRUCTION PROFESSIONALS"
221,MEDICAL DOCTORS
222,NURSING AND MIDWIFERY PROFESSIONALS
223,TRADITIONAL AND COMPLEMENTARY MEDICINE PROFESSIONALS
224,PARAMEDICAL PRACTITIONERS
225,VETERINARIANS
226,OTHER HEALTH PROFESSIONALS
231,UNIVERSITY AND HIGHER EDUCATION TEACHERS
232,VOCATIONAL EDUCATION TEACHERS
233,SECONDARY EDUCATION TEACHERS
234,PRIMARY SCHOOL AND EARLY CHILDHOOD TEACHERS
235,"MUSIC, ARTS AND PERFORMING ARTS TEACHERS"
236,LANGUAGE TEACHERS
237,RELIGIOUS TEACHERS
238,SKILL TECHNOLOGY AND TECHNICAL TRAINERS
239,OTHER TEACHING PROFESSIONALS
241,FINANCE PROFESSIONALS
242,ADMINISTRATION PROFESSIONALS
243,"SALES, MARKETING AND PUBLIC RELATIONS PROFESSIONALS"
244,REGULATORY GOVERNMENT PROFESSIONALS
251,SOFTWARE AND APPLICATIONS DEVELOPERS AND ANALYSTS
252,DATABASE AND NETWORK PROFESSIONALS
261,LEGAL PROFESSIONALS
262,"LIBRARIANS, ARCHIVISTS AND CURATORS"
263,SOCIAL AND RELIGIOUS PROFESSIONALS
264,"AUTHORS, JOURNALISTS AND LINGUISTS"
265,CREATIVE AND PERFORMING ARTISTS
271,HOTEL AND RESTAURANT PROFESSIONALS
311,PHYSICAL AND ENGINEERING SCIENCE TECHNICIANS
312,"MINING, MANUFACTURING AND CONSTRUCTION SUPERVISORS"
313,PROCESS CONTROL TECHNICIANS
314,LIFE SCIENCE TECHNICIANS AND RELATED ASSOCIATE PROFESSIONALS
315,"SHIP, AIRCRAFT AND TRAIN TECHNICIANS"
316,SCIENCE NUCLEAR ASSOCIATE PROFESSIONALS
321,MEDICAL AND PHARMACEUTICAL TECHNICIANS
322,NURSING AND MIDWIFERY ASSOCIATE PROFESSIONALS
323,TRADITIONAL AND COMPLEMENTARY MEDICINE ASSOCIATE PROFESSIONALS
324,VETERINARY TECHNICIANS AND ASSISTANTS
325,OTHER HEALTH ASSOCIATE PROFESSIONALS
331,FINANCIAL AND MATHEMATICAL ASSOCIATE PROFESSIONALS
332,SALES AND PURCHASING AGENTS AND BROKERS
333,BUSINESS SERVICES AGENTS
334,ADMINISTRATIVE AND SPECIALIZED SECRETARIES
335,REGULATORY GOVERNMENT ASSOCIATE PROFESSIONALS
341,"LEGAL, SOCIAL, AND RELIGOUS ASSOCIATE PROFESSIONALS"
342,"SPORTS, SELF DEFENCE AND FITNESS ASSOCIATE PROFESSIONALS"
343,"ARTISTIC, CULTURAL AND CULINARY ASSOCIATE PROFESSIONALS"
351,INFORMATION AND COMMUNICATIONS TECHNOLOGY OPERATIONS AND USER SUPPORT TECHNICIANS
352,TELECOMMUNICATIONS AND BROADCASTING TECHNICIANS
411,GENERAL OFFICE CLERKS
412,SECRETARIES (GENERAL)
413,KEYBOARD OPERATORS
